"x","y","heading","dx","dy","dtheta"
"-0.050538621139276194","-0.6018684835072732","1.4446094379374719E-8","-0.1700277179879854","-2.0248737000088393","4.049184129687369E-16"
"-0.05393917549903594","-0.6423659575074504","1.4446094375126566E-8","-0.17002771798798605","-2.024873700008847","1.694029335160992E-16"
"-0.05733972985879569","-0.6828634315076275","1.4446094370878413E-8","-0.17002771798798666","-2.0248737000088544","-6.611254593653847E-17"
"-0.06074028421855543","-0.7233609055078046","1.4446094369673785E-8","-0.17002771798798705","-2.024873700008859","-1.7375344534237548E-16"
"-0.06414083857831517","-0.7638583795079817","1.4446094373459637E-8","-0.17002771798798705","-2.024873700008859","-7.171779507323012E-17"
"-0.06754139293807492","-0.804355853508159","1.4446094377245488E-8","-0.17002771798798702","-2.024873700008859","3.0317855195915267E-17"
"-0.07094194729783465","-0.8448533275083361","1.444609438103134E-8","-0.17002771798798702","-2.024873700008859","1.3235350546506058E-16"
"-0.07434250165759439","-0.8853508015085133","1.4446094380371326E-8","-0.17002771798798702","-2.024873700008859","1.328279926510324E-16"
"-0.07774305601735412","-0.9258482755086903","1.444609437409794E-8","-0.17002771798798705","-2.024873700008859","5.0709463440050326E-18"
"-0.08114361037711386","-0.9663457495088675","1.4446094367824556E-8","-0.17002771798798705","-2.024873700008859","-1.22686099963023E-16"
"-0.08454416473687361","-1.0068432235090448","1.4446094361551172E-8","-0.17002771798798708","-2.024873700008859","-2.504431462700511E-16"
"-0.08794471909663334","-1.0473406975092219","1.444609435355098E-8","-0.17002771798798708","-2.024873700008859","-3.35600489434792E-16"
"-0.0913452734563931","-1.0878381715093992","1.4446094343858899E-8","-0.17002771798798708","-2.024873700008859","-3.790195583488801E-16"
"-0.09474582781615282","-1.1283356455095763","1.4446094334166817E-8","-0.17002771798798705","-2.024873700008859","-4.2243862726296817E-16"
"-0.09814638217591257","-1.1688331195097534","1.4446094324474735E-8","-0.17002771798798705","-2.024873700008859","-4.658576961770563E-16"
"-0.10154693653567229","-1.2093305935099306","1.4446094326109158E-8","-0.17002771798798705","-2.024873700008859","-3.407521403852701E-16"
"-0.10494749089543204","-1.2498280675101077","1.4446094336349492E-8","-0.17002771798798705","-2.024873700008859","-8.760104690748814E-17"
"-0.10834804525519179","-1.290325541510285","1.4446094346589827E-8","-0.17002771798798705","-2.024873700008859","1.6555004657029379E-16"
"-0.11174859961495154","-1.3308230155104621","1.4446094356830161E-8","-0.17002771798798705","-2.024873700008859","4.187011400480759E-16"
